location_id,source_primary_key,county_id,county_code,county_name,constituency_id,constituency_name,ward_id,ward_name,deleted,location_name_key
66,b25ac6887632413ca876f5d789054992,kilifi,KLF,Kilifi,kaloleni,Kaloleni,mwanamwinga,Mwanamwinga,N,KLF_kaloleni_mwanamwinga
67,e73f1b19e72040059cfc5730067f3662,kilifi,KLF,Kilifi,rabai,Rabai,mwawesa,Mwawesa,N,KLF_rabai_mwawesa
68,49dc1d72b39443de91a5818e76846504,kilifi,KLF,Kilifi,rabai,Rabai,ruruma,Ruruma,N,KLF_rabai_ruruma
69,d7944e67576a4d2a9a2beab045777607,kilifi,KLF,Kilifi,rabai,Rabai,kambe_ribe,Kambe/Ribe,N,KLF_rabai_kambe_ribe
70,52fcb723cc37439e8af9e99ff372f26f,kilifi,KLF,Kilifi,rabai,Rabai,rabai_kisurutini,Rabai/Kisurutini,N,KLF_rabai_rabai_kisurutini
71,38c0986d61ef40ff9ee0138f3aeb4598,kilifi,KLF,Kilifi,ganze,Ganze,ganze,Ganze,N,KLF_ganze_ganze
72,3af77f3d384d40bcaa380a4a8de5eb51,kilifi,KLF,Kilifi,ganze,Ganze,bamba,Bamba,N,KLF_ganze_bamba
73,cd8af1f6354c4af7832dc49b9ed643c2,kilifi,KLF,Kilifi,ganze,Ganze,jaribuni,Jaribuni,N,KLF_ganze_jaribuni
74,fdce2cdf51f842a79c18af249de9226f,kilifi,KLF,Kilifi,ganze,Ganze,sokoke,Sokoke,N,KLF_ganze_sokoke
75,7d9ec7d5db5c4152b41f3a0f30c7e01e,kilifi,KLF,Kilifi,malindi,Malindi,jilore,Jilore,N,KLF_malindi_jilore
76,264f65709d804fbb834e032574a85b45,kilifi,KLF,Kilifi,malindi,Malindi,kakuyuni,Kakuyuni,N,KLF_malindi_kakuyuni
77,9b9b591714054526ab1259c33568623a,kilifi,KLF,Kilifi,malindi,Malindi,ganda,Ganda,N,KLF_malindi_ganda
78,8cda84a10993420a93564dc1094afba9,kilifi,KLF,Kilifi,malindi,Malindi,malindi_town,Malindi Town,N,KLF_malindi_malindi_town
79,a0d21c3d88df4f0bbe288e8e2fc66269,kilifi,KLF,Kilifi,malindi,Malindi,shella,Shella,N,KLF_malindi_shella
80,c8fc93e8875b457a833d4d359c408350,kilifi,KLF,Kilifi,magarini,Magarini,marafa,Marafa,N,KLF_magarini_marafa
81,7d8694ee79ce4d0f8f0ce66d3e087ce1,kilifi,KLF,Kilifi,magarini,Magarini,magarini,Magarini,N,KLF_magarini_magarini
82,ae7a9e15c3d64a22b49e843bae11c1b4,kilifi,KLF,Kilifi,magarini,Magarini,gongoni,Gongoni,N,KLF_magarini_gongoni
83,4a677fd2a19e4c71863e2241ce9781a6,kilifi,KLF,Kilifi,magarini,Magarini,adu,Adu,N,KLF_magarini_adu
84,d69c4cfc1dd54e39aa9761da19196cb0,kilifi,KLF,Kilifi,magarini,Magarini,garashi,Garashi,N,KLF_magarini_garashi
85,8440ec40a1204146b2b31a8baa458b09,kilifi,KLF,Kilifi,magarini,Magarini,sabaki,Sabaki,N,KLF_magarini_sabaki
86,b1ecedcda5ff44829570a3c6b5881fd6,tana_river,TRV,Tana River,garsen,Garsen,kipini_east,Kipini East,N,TRV_garsen_kipini_east
87,015d0b7a0b644f1aa73566740013f404,tana_river,TRV,Tana River,garsen,Garsen,garsen_south,Garsen South,N,TRV_garsen_garsen_south
88,2c9685f090c64106a0ba04813558c090,tana_river,TRV,Tana River,garsen,Garsen,kipini_west,Kipini West,N,TRV_garsen_kipini_west
89,16ad13ff5a7d44b7ae11e89a19f8d63f,tana_river,TRV,Tana River,garsen,Garsen,garsen_central,Garsen Central,N,TRV_garsen_garsen_central
90,2b00e84dfdf8493290e1bf1360a44015,tana_river,TRV,Tana River,garsen,Garsen,garsen_west,Garsen West,N,TRV_garsen_garsen_west
91,ec81a410267b4411b816efc73e76eda7,tana_river,TRV,Tana River,garsen,Garsen,garsen_north,Garsen North,N,TRV_garsen_garsen_north
92,e751552d804e40d589c8111978d3d2c6,tana_river,TRV,Tana River,galole,Galole,kinakomba,Kinakomba,N,TRV_galole_kinakomba
93,58e0bb57e27241379cb0aa98f91e85c6,tana_river,TRV,Tana River,galole,Galole,mikinduni,Mikinduni,N,TRV_galole_mikinduni
94,632f216aed85436caa3ec2480b58b2cb,tana_river,TRV,Tana River,galole,Galole,chewani,Chewani,N,TRV_galole_chewani
95,217c11a6ddec4a2388d157e029d8d146,tana_river,TRV,Tana River,galole,Galole,wayu,Wayu,N,TRV_galole_wayu
96,1207bfe0c40b475f8d8abde3d264b937,tana_river,TRV,Tana River,bura,Bura,chewele,Chewele,N,TRV_bura_chewele
97,25a43901b01e451187d9c231567df52b,tana_river,TRV,Tana River,bura,Bura,bura,Bura,N,TRV_bura_bura
98,982bf58bef2f427fbcefbc31ae3a1f3f,tana_river,TRV,Tana River,bura,Bura,bangale,Bangale,N,TRV_bura_bangale
99,785dc5cb95f8458ea239d3dab02a64ff,tana_river,TRV,Tana River,bura,Bura,sala,Sala,N,TRV_bura_sala
100,1b4888d43c0d46baa4429dc6f61c32a9,tana_river,TRV,Tana River,bura,Bura,madogo,Madogo,N,TRV_bura_madogo
101,3890de8da69a4698b08be3421dc4e647,lamu,LMU,Lamu,lamu_east,Lamu East,faza,Faza,N,LMU_lamu_east_faza
102,18fe45e1bd66436e8225142df7436d2e,lamu,LMU,Lamu,lamu_east,Lamu East,kiunga,Kiunga,N,LMU_lamu_east_kiunga
103,64df4af8d0364ea0a0aa842f6d935eb2,lamu,LMU,Lamu,lamu_east,Lamu East,basuba,Basuba,N,LMU_lamu_east_basuba
